Quarter,National Unemployment Rate SA (%),Dublin Unemployed SA (000),Dublin Unemployment Rate SA (%),Dublin Employed SA (000),QoQ Dublin Employed,YoY  Dublin Employed,%YoY Dublin Unemployed 
Q1 98,9.0%,43.4,8.1%,496.6,,,
Q2 98,8.0%,39.5,7.2%,499.4,,,
Q3 98,7.4%,37.4,7.0%,507.8,,,
Q4 98,6.8%,32.3,5.9%,510.5,,,
Q1 99,6.4%,30.2,5.5%,521.4,,,-2.56%
Q2 99,6.1%,27.9,5.0%,529.9,,,-2.25%
Q3 99,5.6%,24.4,4.5%,534.8,4.9,26.971,-2.48%
Q4 99,5.4%,24.1,4.2%,538.9,4.1,28.448,-1.66%
Q1 00,4.9%,22.1,3.9%,543.6,4.7,22.204,-1.64%
Q2 00,4.7%,21.0,3.5%,551.3,7.7,21.441,-1.44%
Q3 00,4.4%,19.9,3.4%,560.3,9.0,25.509,-1.12%
Q4 00,4.0%,16.7,3.0%,561.8,1.5,22.832,-1.25%
Q1 01,4.0%,16.2,3.0%,563.1,1.3,19.494,-0.87%
Q2 01,4.0%,18.9,3.1%,563.5,0.4,12.173,-0.44%
Q3 01,4.4%,20.2,3.4%,566.9,3.4,6.585,-0.01%
Q4 01,4.4%,20.7,3.5%,566.5,-0.4,4.721,0.51%
Q1 02,4.5%,22.2,3.8%,565.0,-1.5,1.948,0.81%
Q2 02,4.6%,24.0,4.1%,563.0,-2.0,-0.476,1.00%
Q3 02,4.5%,24.8,4.3%,561.8,-1.2,-5.031,0.87%
Q4 02,5.3%,27.9,4.5%,562.2,0.3,-4.318,0.99%
Q1 03,4.8%,26.3,4.5%,563.3,1.1,-1.762,0.65%
Q2 03,4.8%,24.1,4.3%,567.9,4.6,4.855,0.16%
Q3 03,5.0%,27.2,4.8%,563.0,-4.8,1.174,0.53%
Q4 03,4.8%,26.6,4.2%,566.9,3.9,4.788,-0.22%
Q1 04,5.1%,29.9,4.9%,566.2,-0.8,2.927,0.42%
Q2 04,4.7%,25.5,4.3%,567.8,1.6,-0.066,0.02%
Q3 04,4.5%,25.7,4.5%,573.9,6.1,10.847,-0.26%
Q4 04,4.7%,26.1,4.3%,580.0,6.1,13.072,0.09%
Q1 05,4.4%,26.5,4.4%,583.9,3.8,17.685,-0.52%
Q2 05,4.9%,30.3,4.7%,593.8,9.9,25.992,0.43%
Q3 05,4.7%,29.3,4.7%,599.1,5.3,25.213,0.17%
Q4 05,4.6%,30.3,4.8%,604.5,5.4,24.435,0.43%
Q1 06,4.7%,31.5,4.9%,614.2,9.7,30.287,0.46%
Q2 06,4.7%,32.1,4.8%,613.3,-0.9,19.495,0.12%
Q3 06,5.0%,30.6,4.8%,624.0,10.8,24.966,0.14%
Q4 06,4.7%,31.4,4.8%,635.9,11.9,31.471,0.01%
Q1 07,4.9%,31.9,4.8%,645.3,9.3,31.117,-0.07%
Q2 07,5.0%,34.6,4.9%,646.2,0.9,32.883,0.10%
Q3 07,4.9%,32.8,4.9%,652.0,5.9,27.989,0.04%
Q4 07,5.2%,33.5,4.8%,652.5,0.5,16.566,0.07%
Q1 08,5.4%,35.3,5.3%,652.6,0.1,7.348,0.50%
Q2 08,5.9%,35.9,5.3%,652.7,0.1,6.587,0.40%
Q3 08,7.4%,46.1,6.8%,645.6,-7.2,-6.454,1.94%
Q4 08,8.6%,50.6,7.4%,625.5,-20.1,-27.033,2.51%
Q1 09,10.9%,62.3,9.3%,610.8,-14.7,-41.857,3.97%
Q2 09,12.6%,71.2,10.3%,596.8,-14.0,-55.949,4.97%
Q3 09,13.3%,72.9,11.2%,580.6,-16.2,-64.994,4.35%
Q4 09,13.8%,76.8,11.5%,579.2,-1.4,-46.220,4.16%
